property_url,mls,mls_id,status,style,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,last_sold_date,lot_sqft,price_per_sqft,latitude,longitude,stories,hoa_fee,parking_garage
https://www.realtor.com/realestateandhomes-detail/1614465873,SDCA,230022738,FOR_SALE,SINGLE_FAMILY,12791  Calma Ct,,San Diego,CA,92128,5,3,,2359,1973,1,1375000,2023-11-19,52500,1977-03-24,8200,583,33.019643,-117.053634,2,51,2
https://www.realtor.com/realestateandhomes-detail/1207966678,SDCA,230022736,FOR_SALE,CONDOS,988  G St,Unit 30,San Diego,CA,92101,1,1,,640,1999,1,399000,2023-11-19,189500,2011-10-31,,623,32.71283,-117.156027,2,267,
https://www.realtor.com/realestateandhomes-detail/1107055276,MRCA,PTP2305734,FOR_SALE,CONDOS,6209  Caminito Araya,,San Diego,CA,92122,1,1,1,914,1977,1,599000,2023-11-19,399000,2020-01-07,285675,655,32.85112,-117.204751,2,410,
https://www.realtor.com/realestateandhomes-detail/2328662922,MRCA,OC23213930,FOR_SALE,CONDOS,300 W Beech St,Unit 2206,San Diego,CA,92101,1,1,,624,2004,1,725000,2023-11-19,,,60117,1162,32.721426,-117.166048,1,570,1
https://www.realtor.com/realestateandhomes-detail/2904314644,SDCA,230022728,FOR_SALE,CONDOS,3450  2nd Ave,Unit 37,San Diego,CA,92103,2,2,,1251,1970,1,824000,2023-11-19,435000,2015-04-20,16988,659,32.741117,-117.163386,1,470,1
https://www.realtor.com/realestateandhomes-detail/2098784883,SDCA,230022727,FOR_SALE,MULTI_FAMILY,4951-55  Jumano Ave,,San Diego,CA,92117,10,8,,3600,1968,1,1649000,2023-11-19,40000,1975-03-28,12197,458,32.796609,-117.193966,1,0,9
https://www.realtor.com/realestateandhomes-detail/1749483501,MRCA,SW23213828,FOR_SALE,MULTI_FAMILY,3281-3287  Steel St,,San Diego,CA,92113,21,21,,1304,1932,2,1299900,2023-11-18,400000,2023-03-08,6530,997,32.705313,-117.122772,1,0,
https://www.realtor.com/realestateandhomes-detail/1076826420,MRCA,NDP2308945,FOR_SALE,SINGLE_FAMILY,15445  Artesian Spring Rd,,San Diego,CA,92127,6,5,1,5700,2012,2,5200000,2023-11-18,510000,2011-06-28,48352,912,33.012091,-117.14831,1,390,4
https://www.realtor.com/realestateandhomes-detail/2309739039,SDCA,230022712,FOR_SALE,CONDOS,6848  Panamint Row,Unit 3,San Diego,CA,92139,3,2,,1183,1980,2,585000,2023-11-18,93000,1998-05-22,140699,495,32.682054,-117.043596,2,265,
https://www.realtor.com/realestateandhomes-detail/1974480771,SDCA,230022710,FOR_SALE,SINGLE_FAMILY,14099  Carmel Ridge Rd,,San Diego,CA,92128,4,3,1,2046,1991,2,1375000,2023-11-18,810000,2005-06-23,5994,672,32.975526,-117.07496,2,52,2
https://www.realtor.com/realestateandhomes-detail/1463802786,MRCA,NDP2308943,FOR_SALE,SINGLE_FAMILY,1545  Dale St,,San Diego,CA,92102,3,2,,1473,1911,2,1349000,2023-11-18,,,5110,916,32.722172,-117.130849,1,0,1
https://www.realtor.com/realestateandhomes-detail/1276604584,MRCA,PT23208844,FOR_SALE,SINGLE_FAMILY,354  Los Reyes Dr,,San Diego,CA,92114,4,2,,1788,1961,2,735000,2023-11-18,,,7000,411,32.70757,-117.04747,2,0,2
https://www.realtor.com/realestateandhomes-detail/2983573495,SDCA,230022708,FOR_SALE,SINGLE_FAMILY,4080  Morrell St,,San Diego,CA,92109,3,3,1,1966,2010,2,2049000,2023-11-18,1175000,2017-02-13,2627,1042,32.795353,-117.231889,3,0,2
https://www.realtor.com/realestateandhomes-detail/1616180107,MRCA,NDP2308942,FOR_SALE,CONDOS,16450  Caminito Vecinos,Unit 101,San Diego,CA,92128,2,2,,1372,1973,2,699000,2023-11-18,435000,2020-06-29,341946,509,33.014304,-117.0556,1,485,
https://www.realtor.com/realestateandhomes-detail/2579824000,SDCA,230022704,FOR_SALE,CONDOS,3238  Ashford St,Unit E,San Diego,CA,92111,1,1,,463,1975,2,375000,2023-11-18,56000,2001-01-26,183823,810,32.803132,-117.160278,1,343,
https://www.realtor.com/realestateandhomes-detail/1091836923,MRCA,PTP2305727,FOR_SALE,SINGLE_FAMILY,11184  Camarosa Cir,,San Diego,CA,92126,5,2,,1734,1975,2,1199000,2023-11-18,155500,1996-11-27,6842,691,32.925253,-117.137892,1,0,2
