GEOID	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                       
21557	1895	876	69760972	1235041	      26.935	       0.477	 39.536233	 -78.922790                                                                                                                        
21561	2627	2699	240038317	8669494	      92.679	       3.347	 39.491571	 -79.194401                                                                                                                      
21562	3141	1536	75067999	481011	      28.984	       0.186	 39.514119	 -79.040639                                                                                                                        
21601	23597	11292	283350581	53718770	     109.402	      20.741	 38.793812	 -76.082437                                                                                                                   
21607	583	236	47395591	0	      18.300	       0.000	 39.132717	 -75.854207                                                                                                                               
21610	378	347	4580667	3630895	       1.769	       1.402	 39.367085	 -76.072577                                                                                                                          
21612	492	377	14905132	16436690	       5.755	       6.346	 38.751513	 -76.275426                                                                                                                        
21613	17330	8985	402573173	103610844	     155.434	      40.004	 38.502789	 -76.078875                                                                                                                   
21617	9907	3897	283247829	23067121	     109.363	       8.906	 39.049403	 -76.044514                                                                                                                     
21619	5848	2715	24230812	25316223	       9.356	       9.775	 38.943608	 -76.277789                                                                                                                      
21620	12853	6159	302566585	43718996	     116.822	      16.880	 39.200187	 -76.097907                                                                                                                    
21622	558	354	140619350	32322110	      54.293	      12.480	 38.414465	 -76.159253                                                                                                                       
21623	2111	816	97170955	1918126	      37.518	       0.741	 39.124035	 -75.966748                                                                                                                        
21624	143	99	2862461	6179583	       1.105	       2.386	 38.844673	 -76.269891                                                                                                                           
21625	2719	1083	108023258	1497078	      41.708	       0.578	 38.873205	 -75.996027                                                                                                                      
21626	120	122	75270424	8398918	      29.062	       3.243	 38.341359	 -76.098361                                                                                                                         
21627	18	27	3633354	525536	       1.403	       0.203	 38.233029	 -76.046342                                                                                                                             
21628	556	251	2733675	519445	       1.055	       0.201	 39.232791	 -75.921896                                                                                                                           
21629	9555	3897	214651886	6377906	      82.878	       2.463	 38.858889	 -75.824999                                                                                                                      
21631	2731	1216	67544406	10718158	      26.079	       4.138	 38.582391	 -75.938981                                                                                                                      
21632	6353	2742	191895132	1298240	      74.091	       0.501	 38.731398	 -75.772428                                                                                                                      
21634	305	307	12200561	20822861	       4.711	       8.040	 38.292164	 -76.199153                                                                                                                        
21635	2098	1034	79654483	4063543	      30.755	       1.569	 39.334792	 -75.846612                                                                                                                       
21636	1186	486	57175453	156310	      22.076	       0.060	 39.025292	 -75.802806                                                                                                                         
21638	4934	2191	25480164	14298968	       9.838	       5.521	 38.940201	 -76.207604                                                                                                                      
21639	4408	1779	85021451	341767	      32.827	       0.132	 38.958616	 -75.782373                                                                                                                        
21640	1632	651	71646341	185174	      27.663	       0.071	 39.068141	 -75.820948                                                                                                                         
21641	117	55	233483	6165	       0.090	       0.002	 38.917924	 -75.940168                                                                                                                               
21643	5979	2576	123412463	5326122	      47.650	       2.056	 38.645582	 -75.869896                                                                                                                      
21644	111	41	11140680	0	       4.301	       0.000	 39.112428	 -75.873521                                                                                                                                
21645	1039	594	98637796	7812552	      38.084	       3.016	 39.315859	 -75.956142                                                                                                                        
21647	289	184	8550190	1633573	       3.301	       0.631	 38.812385	 -76.283079                                                                                                                          
21648	255	150	45632511	10852813	      17.619	       4.190	 38.485356	 -76.239330                                                                                                                        
21649	1858	593	44118028	24292	      17.034	       0.009	 39.134090	 -75.769331                                                                                                                          
21650	238	98	28668471	135772	      11.069	       0.052	 39.316259	 -75.813870                                                                                                                           
21651	2898	1234	100850231	1988812	      38.938	       0.768	 39.255497	 -75.850227                                                                                                                      
21652	183	154	1552741	2728348	       0.600	       1.053	 38.703188	 -76.274135                                                                                                                          
21653	114	77	450150	123701	       0.174	       0.048	 38.750464	 -76.179733                                                                                                                             
21654	1236	974	28411730	9892865	      10.970	       3.820	 38.688756	 -76.127833                                                                                                                        
21655	5009	2165	137258137	8649488	      52.996	       3.340	 38.744968	 -75.912768                                                                                                                      
21657	777	310	64427733	44319	      24.876	       0.017	 38.969939	 -75.986922                                                                                                                           
21658	3862	1679	101617928	18832105	      39.235	       7.271	 38.955536	 -76.140688                                                                                                                     
21659	1551	702	124235193	3349072	      47.967	       1.293	 38.583928	 -75.775560                                                                                                                       
21660	4063	1557	85694837	384407	      33.087	       0.148	 38.956135	 -75.889093                                                                                                                        
21661	2653	1792	83954615	56944688	      32.415	      21.986	 39.096119	 -76.219487                                                                                                                      
21662	555	422	20686112	14697516	       7.987	       5.675	 38.713549	 -76.209515                                                                                                                        
21663	3308	2167	31660228	17343594	      12.224	       6.696	 38.788962	 -76.229131                                                                                                                      
