Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure
04/08/2020,04/08/2020,05/27/2020,Ovations Fanfare L.P. dba Spectra Food Services and Hospitality,Ventura,Ventura County,45,Closure Temporary
04/13/2020,03/31/2020,05/27/2020,Eggs'N'Things,Thousand Oaks,Ventura County,168,Layoff Temporary
04/27/2020,04/27/2020,05/27/2020,Silver Star Auto Group,Thousand Oaks,Ventura County,228,Layoff Temporary
04/07/2020,03/17/2020,05/26/2020,Blackhawk Country Club,Danville,Contra Costa County,222,Layoff Temporary
03/31/2020,03/31/2020,05/26/2020,Bakersfield Fitness LLC,Bakersfield,Kern County,1,Layoff Temporary
03/16/2020,03/16/2020,05/26/2020,BlueSky Diversified Inc dba Puente Hills Ford,Industry,Los Angeles County,32,Layoff Temporary
04/10/2020,03/16/2020,05/26/2020,Norm Reeves Honda Superstore West Covina,West Covina,Los Angeles County,96,Layoff Temporary
04/13/2020,04/10/2020,05/26/2020,"Alpha Entertainment LLC, dba XFL",Long Beach,Los Angeles County,87,Closure Permanent
03/31/2020,03/31/2020,05/26/2020,"Canoga Park Fitness, LLC",Canoga Park,Los Angeles County,1,Layoff Temporary
03/31/2020,03/31/2020,05/26/2020,Chatsworth Health Fitness LLC,Chatsworth,Los Angeles County,1,Layoff Temporary
03/31/2020,03/31/2020,05/26/2020,La Mirada Health & Fitness LLC,La Mirada,Los Angeles County,1,Layoff Temporary
03/31/2020,03/31/2020,05/26/2020,Northridge Health Fitness LLC,Northridge,Los Angeles County,1,Layoff Temporary
03/31/2020,03/31/2020,05/26/2020,Norwalk Fitness LLC,Canyon Country,Los Angeles County,1,Layoff Temporary
03/31/2020,03/31/2020,05/26/2020,"Oceangate Fitness, LLC",Long Beach,Los Angeles County,1,Layoff Temporary
03/31/2020,03/31/2020,05/26/2020,"San Dimas MMA, LLC",San Dimas,Los Angeles County,1,Layoff Temporary
04/01/2020,03/31/2020,05/26/2020,ALPERT JEWISH COMMUNITY CENTER,Long Beach,Los Angeles County,133,Closure Unknown at this time
03/31/2020,03/31/2020,05/26/2020,"Universal Fitness Club Norwalk, LLC",Norwalk,Los Angeles County,1,Layoff Temporary
03/31/2020,03/31/2020,05/26/2020,"XI Enterprise, Inc.",Palmdale,Los Angeles County,1,Layoff Temporary
04/06/2020,03/17/2020,05/26/2020,South Coast Plaza,Costa Mesa,Orange County,95,Layoff Temporary
04/03/2020,04/06/2020,05/26/2020,Great Foundations Montessori,Irvine,Orange County,77,Closure Temporary
04/10/2020,03/16/2020,05/26/2020,"Irvine Auto Retail I, Inc. dba Norm Reeves Honda Superstore Irvine",Irvine,Orange County,111,Layoff Temporary
05/08/2020,04/23/2020,05/26/2020,Calvary Chapel of Costa Mesa,Santa Ana,Orange County,60,Layoff Temporary
03/31/2020,03/31/2020,05/26/2020,Hemet Fitness LLC,Hemet,Riverside County,1,Layoff Temporary
03/31/2020,03/31/2020,05/26/2020,Corona Health & Fitness LLC,Corona,Riverside County,1,Layoff Temporary
03/31/2020,03/31/2020,05/26/2020,North Riverside Fitness Inc.,Riverside,Riverside County,1,Layoff Temporary
03/31/2020,03/31/2020,05/26/2020,"Moreno Valley Fitness, Inc.",Moreno Valley,Riverside County,1,Layoff Temporary
03/31/2020,03/31/2020,05/26/2020,Temecula Fitness LLC,Winchester,Riverside County,1,Layoff Temporary
05/08/2020,04/23/2020,05/26/2020,"Murrieta Hot Springs Christian Conference & Calvary Chapel Bible
College",Murrieta,Riverside County,59,Layoff Permanent
03/30/2020,03/30/2020,05/26/2020,Duckhorn Wine Company DBA Calera Winery,Hollister,San Benito County,2,Layoff Permanent
03/30/2020,03/30/2020,05/26/2020,Duckhorn Wine Company DBA Calera Winery,Hollister,San Benito County,4,Layoff Temporary
03/31/2020,03/31/2020,05/26/2020,Chino Fitness LLC,Chino,San Bernardino County,1,Layoff Temporary
05/08/2020,04/23/2020,05/26/2020,Twin Peaks Christian Center & Lake Arrowhead Christian School,Twin Peaks,San Bernardino County,42,Layoff Permanent
04/15/2020,03/20/2020,05/26/2020,Bon Appetit Management Co.,Stockton,San Joaquin County,79,Layoff Temporary
04/03/2020,04/06/2020,05/26/2020,Cal Poly Corporation,San Luis Obispo,San Luis Obispo County,2626,Layoff Temporary
04/13/2020,03/31/2020,05/26/2020,"Rocket Farms, Inc.",Half Moon Bay,San Mateo County,7,Layoff Unknown at this time
04/15/2020,04/10/2020,05/26/2020,Adecco USA Inc. at Safran USA Inc.,Santa Maria,Santa Barbara County,65,Layoff Permanent
03/31/2020,03/31/2020,05/26/2020,Santa Maria Health & Fitness LLC,Santa Maria,Santa Barbara County,1,Layoff Temporary
04/08/2020,03/23/2020,05/26/2020,KHRG Canary LLC dba Canary Hotel,Santa Barbara,Santa Barbara County,106,Layoff Temporary
03/17/2020,03/17/2020,05/26/2020,Earthquakes Soccer LLC,San Jose,Santa Clara County,161,Layoff Temporary
04/06/2020,04/06/2020,05/26/2020,Magnussen Imports Inc Magnussen's Toyota of Palo Alto,Palo Alto,Santa Clara County,63,Layoff Temporary
03/30/2020,03/30/2020,05/26/2020,Duckhorn Wine Company,Sebastopol,Sonoma County,3,Layoff Temporary
03/30/2020,03/30/2020,05/26/2020,Duckhorn Wine Company DBA Kosta Browne Winery,Sebastopol,Sonoma County,2,Layoff Permanent
03/31/2020,03/31/2020,05/26/2020,"Thousand Oaks Fitness, LLC",Westlake Village,Ventura County,1,Layoff Temporary
03/31/2020,03/31/2020,05/26/2020,Simi Valley Fitness LLC,Simi Valley,Ventura County,1,Layoff Temporary
04/02/2020,03/17/2020,05/26/2020,"Coltan Inc., dba Dos Coyotes",Davis,Yolo County,37,Layoff Temporary
04/15/2020,01/21/2020,05/26/2020,Gate Gourmet's San Francisco International Airport Kitchen,San Francisco,San Francisco County,678,Layoff Temporary
04/07/2020,04/07/2020,05/26/2020,Mathew Enterprise Inc. dba Stoneridge Chrysler Jeep Dodge,Pleasanton,Alameda County,71,Layoff Temporary
03/19/2020,03/19/2020,05/26/2020,"Decker Ford, Inc. dba Furture Ford of Clovis",Clovis,Fresno County,59,Layoff Temporary
04/02/2020,04/02/2020,05/26/2020,Sugar Foods,Los Angeles,Los Angeles County,61,Layoff Temporary
03/28/2020,03/28/2020,05/26/2020,Sugar Foods,Sun Valley,Los Angeles County,80,Layoff Temporary
04/10/2020,03/16/2020,05/26/2020,AAA Flag & Banner,Los Angeles,Los Angeles County,55,Layoff Temporary
03/22/2020,03/23/2020,05/26/2020,"GSM Auto Group, II LLC dba Audi Mission Viejo",Mission Viejo,Orange County,86,Layoff Temporary
04/09/2020,03/23/2020,05/26/2020,"CVK Automotive Group, Inc. dba Kia of Chula Vista",Chula Vista,San Diego County,4,Layoff Permanent
03/27/2020,03/27/2020,05/26/2020,Roam Artisan Burgers,San Mateo,San Mateo County,20,Layoff Temporary
04/07/2020,04/07/2020,05/26/2020,3566 Stevens Creek Holdings dba Sunnvale Chrysler Jeep Dodge,Sunnyvale,Santa Clara County,36,Layoff Temporary
03/17/2020,03/17/2020,05/23/2020,Decurion dba Nationwide Theatres Corp,San Fernando,Los Angeles County,106,Layoff Temporary
04/03/2020,04/03/2020,05/23/2020,"Auto Mission, Ltd. dba AutoNation Toyota Hayward",Hayward,Alameda County,44,Layoff Temporary
04/03/2020,04/03/2020,05/23/2020,"Edgen Motor Conpany, Inc. dba Autonation Honda Fremont",Fremont,Alameda County,72,Layoff Temporary
04/07/2020,04/07/2020,05/23/2020,Team Volkswagon of Hayward,Hayward,Alameda County,38,Layoff Temporary
04/06/2020,04/07/2020,05/23/2020,"TA Operating LLC, dba Black Bear Diner",Arvin,Kern County,45,Closure Temporary
04/13/2020,04/14/2020,05/23/2020,Four Seasons Los Angeles Worldwide Sales Office,Beverly Hills,Los Angeles County,2,Layoff Permanent
04/16/2020,03/19/2020,05/23/2020,EFT Media Productions - The Vanowen Office,Burbank,Los Angeles County,7,Layoff Temporary
04/16/2020,03/23/2020,05/23/2020,Pipedream Products,Chatsworth,Los Angeles County,52,Closure Permanent
04/10/2020,03/16/2020,05/23/2020,"Cerritos Ford, Inc. dba Norm Reeves Hyuandai Superstore",Cerritos,Los Angeles County,131,Closure Temporary
04/09/2020,04/11/2020,05/23/2020,"Eminent, Inc. aka Revolve Group Inc.",Los Angeles,Los Angeles County,49,Closure Temporary
04/13/2020,04/05/2020,05/23/2020,Staples,La Mirada,Los Angeles County,77,Layoff Temporary
04/07/2020,03/18/2020,05/23/2020,Simmzy's LLC,Burbank,Los Angeles County,59,Layoff Temporary
04/03/2020,04/03/2020,05/23/2020,"Carwell, LLC dba Mercedes-Benz of South Bay",Torrance,Los Angeles County,48,Layoff Temporary
04/03/2020,04/06/2020,05/23/2020,"Printful, Inc.",Chatsworth,Los Angeles County,64,Layoff Temporary
04/06/2020,04/03/2020,05/23/2020,"Irvine Imports, Inc. dba AutoNation Toyota Irvine",Irvine,Orange County,45,Layoff Temporary
04/06/2020,04/03/2020,05/23/2020,Tokyo Table Holdings LLC,Irvine,Orange County,73,Closure Temporary
04/08/2020,04/08/2020,05/23/2020,CarMax Costa Mesa,Costa Mesa,Orange County,88,Layoff Temporary
04/01/2020,03/16/2020,05/23/2020,"El Cholo Corona Del Mar, Inc.",Corona Del Mar,Orange County,51,Closure Temporary
04/10/2020,03/20/2020,05/23/2020,NORM REEVES HONDA SUPERSTORE,Huntington Beach,Orange County,69,Layoff Temporary
04/16/2020,03/19/2020,05/23/2020,EFT Media Productions,Costa Mesa,Orange County,38,Layoff Temporary
04/24/2020,04/30/2020,05/23/2020,Live Nation Clubs & Theaters - House of Blues Anaheim,Anaheim,Orange County,325,Layoff Temporary
04/24/2020,04/30/2020,05/23/2020,Live Nation Clubs & Theaters - Observatory OC,Santa Ana,Orange County,71,Layoff Temporary
04/03/2020,04/03/2020,05/23/2020,"Auto Car, Inc. dba AutoNation Roseville Honda",Roseville,Placer County,52,Layoff Temporary
04/24/2020,04/30/2020,05/23/2020,Live Nation Clubs & Theaters - Riverside Municipal Auditorium,Riverside,Riverside County,106,Layoff Temporary
04/24/2020,04/30/2020,05/23/2020,Live Nation Clubs & Theaters - Punch Line Sacramento,Sacramento,Sacramento County,122,Layoff Temporary
04/24/2020,04/30/2020,05/23/2020,Live Nation Clubs & Theaters - The Magnolia,El Cajon,San Diego County,232,Layoff Temporary
04/10/2020,03/16/2020,05/23/2020,"Conant Auto Retail San Diego, Inc. dba Norm Reeves Toyota San Diego",San Diego,San Diego County,106,Closure Temporary
04/06/2020,03/26/2020,05/23/2020,"Marugame Udon USA, LLC",San Francisco,San Francisco County,106,Layoff Temporary
04/06/2020,03/27/2020,05/23/2020,"California Closets Retail, Inc.",San Francisco,San Francisco County,83,Closure Temporary
04/13/2020,04/14/2020,05/23/2020,Four Seasons San Francisco Worldwide Sales Office,San Francisco,San Francisco County,1,Layoff Permanent
04/07/2020,04/07/2020,05/23/2020,Total Quality Maintenance,Palo Alto,Santa Clara County,143,Layoff Temporary
04/24/2020,03/10/2020,05/23/2020,George P. Johnson,Torrance,Los Angeles County,62,Layoff Temporary
04/24/2020,04/30/2020,05/23/2020,Live Nation Clubs & Theaters - The Wiltern,Los Angeles,Los Angeles County,690,Layoff Temporary
04/14/2020,03/27/2020,05/23/2020,SYGMA Network Inc.,Lancaster,Los Angeles County,38,Layoff Permanent
04/15/2020,04/17/2020,05/23/2020,"Spicers Paper, Inc.",Santa Fe Springs,Los Angeles County,58,Layoff Temporary
04/03/2020,03/16/2020,05/23/2020,Lawry's Restaurants Inc.,Beverly Hills,Los Angeles County,117,Layoff Temporary
05/08/2020,07/17/2020,05/23/2020,Allergan plc,Irvine,Orange County,,Layoff Temporary
04/03/2020,03/17/2020,05/23/2020,Freedom Forever LLC dba Bright Solar Marketing,Temecula,Riverside County,133,Layoff Temporary
04/01/2020,03/16/2020,05/23/2020,Fit Athletic Club,San Diego,San Diego County,321,Layoff Unknown at this time
04/10/2020,04/19/2020,05/23/2020,"Hologic, Inc.",San Diego,San Diego County,93,Layoff Temporary
03/25/2020,03/20/2020,05/23/2020,Fairmont Grand Del Mar,San Diego,San Diego County,555,Layoff Temporary
04/03/2020,04/04/2020,05/23/2020,Sheraton San Jose,Milpitas,Santa Clara County,62,Layoff Temporary
04/10/2020,04/13/2020,05/22/2020,Sunrise Medical (US) LLC,Fresno,Fresno County,71,Layoff Temporary
04/03/2020,03/23/2020,05/22/2020,Three-Way Cevrolet Co. dba Three-Way Chevrolet Cadillac,Bakersfield,Kern County,66,Layoff Temporary
04/14/2020,04/14/2020,05/22/2020,TA Operating LLC dba Iron Skillet Restaurant,Lebec,Kern County,26,Closure Temporary
03/27/2020,03/31/2020,05/22/2020,ZIP RECRUITER,Santa Monica,Los Angeles County,118,Layoff Temporary
03/20/2020,03/20/2020,05/22/2020,"International Grill, Inc. dba Massis Kabob",Arcadia,Los Angeles County,14,Layoff Unknown at this time
03/20/2020,03/20/2020,05/22/2020,"International Grill, Inc. dba Massis Kabob",Culver City,Los Angeles County,15,Layoff Unknown at this time
03/20/2020,03/20/2020,05/22/2020,"International Grill, Inc. dba Massis Kabob",Glendale,Los Angeles County,34,Layoff Unknown at this time
03/20/2020,03/20/2020,05/22/2020,"International Grill, Inc. dba Massis Kabob",Sherman Oaks,Los Angeles County,55,Layoff Temporary
03/20/2020,03/16/2020,05/22/2020,"Hola Rivera, LLC dba Petty Cash Taqueria",Los Angeles,Los Angeles County,62,Layoff Temporary
03/20/2020,03/16/2020,05/22/2020,"Vibiana Events, LLC",Los Angeles,Los Angeles County,181,Layoff Temporary
04/10/2020,03/23/2020,05/22/2020,Pacific BMW,Glendale,Los Angeles County,49,Layoff Temporary
04/10/2020,04/23/2020,05/22/2020,Pacific BMW,Glendale,Los Angeles County,10,Layoff Permanent
04/07/2020,04/05/2020,05/22/2020,"Nederlander West Coast, LLC dba CAL-NED",Los Angeles,Los Angeles County,35,Layoff Temporary
03/31/2020,03/31/2020,05/22/2020,FOX HILLS AUTO DBA AIRPORT MARINA FORD,Los Angeles,Los Angeles County,38,Layoff Temporary
04/02/2020,04/06/2020,05/22/2020,Jonathan Louis International Ltd.,Gardena,Los Angeles County,519,Layoff Temporary
04/02/2020,04/06/2020,05/22/2020,Jonathan Louis International Ltd.,Los Angeles,Los Angeles County,74,Layoff Temporary
04/03/2020,04/03/2020,05/22/2020,"Buena Park Luxury Imports, Inc. dba BMW of Buena Park",Buena Park,Orange County,36,Layoff Temporary
04/01/2020,03/31/2020,05/22/2020,"Paragon Industries, Inc. dba Bedrosians",Anaheim,Orange County,34,Layoff Temporary
03/01/2020,03/27/2020,05/22/2020,"CloudPoint Ventures, Inc.",Newport Beach,Orange County,3,Layoff Temporary
03/18/2020,12/31/2020,05/22/2020,"Nursery Supplies, Inc.",Orange,Orange County,40,Closure Permanent
03/27/2020,03/27/2020,05/22/2020,"James R. Glidewell, Dental Ceramics",Newport Beach,Orange County,537,Layoff Temporary
03/27/2020,03/27/2020,05/22/2020,"James R. Glidewell, Dental Ceramics,",Newport Beach,Orange County,331,Layoff Permanent
03/27/2020,03/27/2020,05/22/2020,"Crown World, Inc",Newport Beach,Orange County,1,Layoff Temporary
03/27/2020,03/27/2020,05/22/2020,"Prismatik Dentalcraft, Inc.",Newport Beach,Orange County,73,Layoff Temporary
03/27/2020,03/27/2020,05/22/2020,"Prismatik Dentalcraft, Inc.",Newport Beach,Orange County,187,Layoff Permanent
03/27/2020,04/03/2020,05/22/2020,Goodwill Retail Stores,Lake Elsinore,Riverside County,195,Layoff Temporary
04/03/2020,04/03/2020,05/22/2020,"Superior Group of Companies, Inc.",Murrieta,Riverside County,1,Layoff Permanent
04/09/2020,03/20/2020,05/22/2020,"FM Restaurants HQ, LLC - El Torito",Riverside,Riverside County,65,Layoff Temporary
04/09/2020,04/09/2020,05/22/2020,"C&M Motors, Inc. dba I-10 Toyota",Indio,Riverside County,42,Layoff Permanent
04/02/2020,04/02/2020,05/22/2020,"SkySlope, Inc.",Sacramento,Sacramento County,42,Layoff Temporary
04/02/2020,03/17/2020,05/22/2020,"Trumax LLC, dba Dos Coyotes Border Cafe",Elk Grove,Sacramento County,12,Layoff Temporary
03/29/2020,03/20/2020,05/22/2020,KHRG Sacramento LLC dba Sawyer Hotel,Sacramento,Sacramento County,150,Layoff Temporary
04/09/2020,03/20/2020,05/22/2020,"FM Restaurants HQ, LLC - El Torito -",Ontario,San Bernardino County,64,Layoff Temporary
03/27/2020,04/03/2020,05/22/2020,Goodwill Store and Donation Center,Victorville,San Bernardino County,232,Layoff Permanent
03/27/2020,03/27/2020,05/22/2020,"James R. Glidewell, Dental Ceramics, Inc.",San Diego,San Diego County,5,Layoff Temporary
04/02/2020,04/06/2020,05/22/2020,"Reading Theaters, Inc.",San Diego,San Diego County,85,Closure Temporary
04/08/2020,04/03/2020,05/22/2020,"Taylor Farms Pacific, Inc.",Tracy,San Joaquin County,190,Layoff Permanent
03/31/2020,03/30/2020,05/22/2020,Fresh Venture Foods,Santa Maria,Santa Barbara County,69,Layoff Temporary
04/08/2020,03/24/2020,05/22/2020,"KHRG Goleta LLC, dba The Goodland Hotel",Goleta,Santa Barbara County,100,Layoff Temporary
03/01/2020,03/27/2020,05/22/2020,"Crown World, Inc.",San Jose,Santa Clara County,6,Layoff Temporary
04/02/2020,04/02/2020,05/22/2020,Vander-Bend Manufacturing,San Jose,Santa Clara County,98,Layoff Permanent
04/09/2020,03/20/2020,05/22/2020,"FM Restaurants HQ, LLC",Milpitas,Santa Clara County,108,Layoff Temporary
04/09/2020,03/20/2020,05/22/2020,"FM Restaurants HQ, LLC - Chevys",Vallejo,Solano County,95,Layoff Temporary
04/09/2020,03/20/2020,05/22/2020,"FM Restaurants HQ, LLC - Chevys",Santa Rosa,Sonoma County,50,Layoff Temporary
04/01/2020,04/01/2020,05/22/2020,Tierra Sur,Oxnard,Ventura County,28,Layoff Temporary
04/07/2020,04/07/2020,05/22/2020,Millenium Hotels dba Millenium Biltmore Hotel Los Angeles,Los Angeles,Los Angeles County,546,Layoff Temporary
04/07/2020,03/17/2020,05/22/2020,"Magnussen Fremont Imports, Inc. dba Magnussen Lexus of Fremont",Fremont,Alameda County,98,Layoff Temporary
03/23/2020,03/23/2020,05/22/2020,Concord Toyota,Concord,Contra Costa County,32,Layoff Unknown at this time
04/03/2020,04/03/2020,05/22/2020,"Mr. Wheels, Inc. dba AutoNation Toyota Cerritos",Cerritos,Los Angeles County,48,Layoff Temporary
04/03/2020,03/20/2020,05/22/2020,Elite Comfort Solutions,Los Angeles,Los Angeles County,55,Layoff Temporary
04/01/2020,03/31/2020,05/22/2020,"Turn 2, Automotive Group - dba Honda World",Downey,Los Angeles County,119,Layoff Temporary
04/01/2020,03/16/2020,05/22/2020,Eataly Century City,Los Angeles,Los Angeles County,264,Closure Temporary
05/05/2020,04/01/2020,05/22/2020,"Minim Productions, Inc.",Los Angeles,Los Angeles County,385,Layoff Temporary
05/05/2020,03/25/2020,05/22/2020,"Touchstone Television Productions, LLC dba ABC Studios",Los Angeles,Los Angeles County,629,Layoff Temporary
03/16/2020,03/16/2020,05/22/2020,Industrius Motors LLC dba Buena Park Nissan,Buena Park,Orange County,37,Layoff Temporary
04/06/2020,03/16/2020,05/22/2020,"Payne's Janitorial Services, inc.",La Habra,Orange County,111,Layoff Temporary
03/19/2020,03/19/2020,05/22/2020,"Future Ford, Inc., dba Future Ford Lincoln",Roseville,Placer County,109,Layoff Temporary
03/27/2020,03/30/2020,05/22/2020,IP Entertainment LLC dba Pins N Pockets,Lake Elsinore,Riverside County,133,Layoff Unknown at this time
04/01/2020,04/05/2020,05/22/2020,"Paradies Shops, LLC",Palm Springs,Riverside County,16,Layoff Temporary
03/18/2020,03/18/2020,05/22/2020,Big Al's IV,Ontario,San Bernardino County,136,Layoff Temporary
05/07/2020,07/10/2020,05/22/2020,CRC Health Corporation 3200,Carlsbad,San Diego County,38,Layoff Permanent
04/01/2020,03/09/2020,05/22/2020,"Soiree Valet Parking Service, Inc.",San Francisco,San Francisco County,74,Layoff Temporary
04/06/2020,03/17/2020,05/22/2020,"Ocean Colony Partners, LLC dba half Moon Bay Golf Links",Half Moon Bay,San Mateo County,75,Layoff Temporary
04/02/2020,04/02/2020,05/22/2020,Pacific West Lath & Plaster Inc.,San Mateo,San Mateo County,10,Layoff Temporary
03/18/2020,03/18/2020,05/22/2020,Big Al's,Milpitas,Santa Clara County,131,Layoff Temporary
04/06/2020,03/18/2020,05/22/2020,Foreign Automotive dba Manly Honda,Santa Rosa,Sonoma County,82,Layoff Temporary
05/06/2020,03/16/2020,05/22/2020,"Darden Restaurants, Inc.",Oxnard,Ventura County,323,Layoff Temporary
03/24/2020,03/20/2020,05/21/2020,Aquirecorp Norwalk Auto Action,Norwalk,Los Angeles County,79,Layoff Temporary
03/24/2020,03/20/2020,05/21/2020,"Auto Recovery, Inc.",Norwalk,Los Angeles County,10,Layoff Temporary
03/23/2020,03/23/2020,05/21/2020,F S Hotel (L.A.) Inc. dba Four Seasons Los Angeles,Los Angeles,Los Angeles County,635,Closure Temporary
03/25/2020,03/25/2020,05/21/2020,First Source LLC,Pico Rivera,Los Angeles County,72,Closure Permanent
03/25/2020,03/25/2020,05/21/2020,Gemelli Restaurant Partners LP dba Rossoblu,Los Angeles,Los Angeles County,58,Layoff Temporary
03/25/2020,03/28/2020,05/21/2020,Sim Group U.S. Inc.,Los Angeles,Los Angeles County,34,Layoff Temporary
03/20/2020,03/20/2020,05/21/2020,LDD Long Point Management LLC @ Terranea Resort,Rancho Palos Verdes,Los Angeles County,1107,Closure Temporary
04/14/2020,04/14/2020,05/21/2020,Group 1 Automotive dba Mercedes-Benz of Beverly Hills,Beverly Hills,Los Angeles County,95,Layoff Temporary
04/02/2020,04/11/2020,05/21/2020,PIH Health Downey Hospital,Downey,Los Angeles County,61,Layoff Temporary
03/30/2020,03/31/2020,05/21/2020,El Mercado de Los Angeles,Los Angeles,Los Angeles County,59,Layoff Temporary
03/20/2020,03/20/2020,05/21/2020,Paradigm Talent Agency,Monterey,Monterey County,4,Layoff Temporary
04/09/2020,03/31/2020,05/21/2020,"Growers Transplanting, Inc",Salinas,Monterey County,34,Layoff Unknown at this time
04/06/2020,04/04/2020,05/21/2020,Northstar At Tahoe,Truckee,Nevada County,161,Layoff Temporary
04/03/2020,04/03/2020,05/21/2020,"House of Imports, Inc. dba House of Imports",Buena Park,Orange County,50,Layoff Temporary
03/30/2020,03/30/2020,05/21/2020,SNS Legacy DBA The Fifth,Anaheim,Orange County,31,Layoff Temporary
03/24/2020,03/30/2020,05/21/2020,"PAG Santa Ana AVW, Inc.",Santa Ana,Orange County,68,Layoff Temporary
03/24/2020,03/30/2020,05/21/2020,"PAG Santa Ana B1, Inc.",Santa Ana,Orange County,82,Layoff Temporary
05/21/2020,03/15/2020,05/21/2020,"Bob Martin, Inc. dba The Library Gentlemen's Club",Westminster,Orange County,154,Layoff Temporary
04/07/2020,04/09/2020,05/21/2020,Rancho La Quinta Country Club,La Quinta,Riverside County,45,Layoff Temporary
03/31/2020,03/31/2020,05/21/2020,"Sunrise Ford, Inc. DBA Sunrise Ford Fontana",Fontana,San Bernardino County,72,Layoff Temporary
03/24/2020,03/30/2020,05/21/2020,"PAG Ontario B1, Inc.",Ontario,San Bernardino County,86,Layoff Temporary
03/27/2020,04/03/2020,05/21/2020,Goodwill Industries of Southern California,Colton,San Bernardino County,3,Layoff Temporary
03/26/2020,03/26/2020,05/21/2020,"Caleres, Inc. Distribution Center",Chino,San Bernardino County,199,Layoff Permanent
03/19/2020,03/18/2020,05/21/2020,"Paradies-San Diego, LLC",San Diego,San Diego County,11,Layoff Temporary
04/27/2020,04/27/2020,05/21/2020,Sunroad CV Auto Inc. dba Toyota Chula Vista,Chula Vista,San Diego County,23,Layoff Temporary
04/27/2020,04/27/2020,05/21/2020,Sunroad HS Auto Inc. dba Kearny Mesa Hyundai Subaru,San Diego,San Diego County,13,Layoff Temporary
04/27/2020,04/27/2020,05/21/2020,Sunroad KMI Auto Inc. dba Kearny Mesa Infiniti,San Diego,San Diego County,9,Layoff Temporary
04/15/2020,04/15/2020,05/21/2020,"Grand Pacific Resorts, Inc.",Carlsbad,San Diego County,70,Layoff Temporary
04/08/2020,04/10/2020,05/21/2020,M. Arthur Gensler Jr. & Associates Inc. dba Gensler,San Diego,San Diego County,16,Layoff Permanent
03/31/2020,03/31/2020,05/21/2020,BUCA DBA BUCA DI BEPPO,San Diego,San Diego County,79,Layoff Temporary
03/31/2020,03/31/2020,05/21/2020,"BUCA, INC DBA BUCA DI BEPPO",Carlsbad,San Diego County,64,Layoff Temporary
03/31/2020,03/31/2020,05/21/2020,"BUCA, INC DBA BUCA DI BEPPO",San Diego,San Diego County,73,Layoff Temporary
03/19/2020,03/18/2020,05/21/2020,Paradies Lagardere,San Francisco,San Francisco County,45,Layoff Temporary
04/09/2020,04/13/2020,05/21/2020,Lumileds LLC,San Jose,Santa Clara County,63,Layoff Temporary
03/31/2020,03/31/2020,05/21/2020,BUCA Inc. dba Buca di Beppo,Thousand Oaks,Ventura County,71,Layoff Temporary
03/31/2020,03/31/2020,05/21/2020,Urbane Cafe,Simi Valley,Ventura County,6,Layoff Temporary
04/09/2020,04/10/2020,05/21/2020,VSPOne Sacramento,Folsom,Sacramento County,251,Layoff Temporary
03/26/2020,03/23/2020,05/21/2020,Bcci Construction Co,San Francisco,San Francisco County,132,Layoff Temporary
03/27/2020,03/07/2020,05/21/2020,"Courtyard Management Corporation dba San Francisco Marriott Courtyard
Downtown",San Francisco,San Francisco County,117,Layoff Temporary
03/27/2020,03/17/2020,05/21/2020,Novo Construction Inc.,Menlo Park,San Mateo County,22,Layoff Unknown at this time
04/13/2020,04/17/2020,05/21/2020,"Gardner Family Health Network, Inc.",San Jose,Santa Clara County,158,Layoff Unknown at this time
04/06/2020,03/20/2020,05/21/2020,"Hilton Hotel Employer, LLC, Hilton San Jose",San Jose,Santa Clara County,157,Layoff Unknown at this time
03/24/2020,03/31/2020,05/21/2020,Bill Wright Toyota,Bakersfield,Kern County,95,Layoff Temporary
03/24/2020,03/24/2020,05/21/2020,Bill Wright Toyota (Service),Bakersfield,Kern County,55,Layoff Temporary
04/15/2020,03/19/2020,05/21/2020,"The Kitchen for Exploring Foods, LLC",Pasadena,Los Angeles County,134,Layoff Temporary
03/16/2020,03/16/2020,05/21/2020,Brown Automotive Inc DBA Puente Hills Nissan,Rowland Heights,Los Angeles County,35,Layoff Temporary
03/25/2020,03/19/2020,05/21/2020,"H.W. Hunter, Inc.",Lancaster,Los Angeles County,78,Layoff Temporary
05/06/2020,03/16/2020,05/21/2020,"Darden Restaurant, Inc.",Moreno Valley,Riverside County,984,Layoff Temporary
03/27/2020,03/18/2020,05/21/2020,Ace Hotel Palm Springs LLC,Palm Springs,Riverside County,204,Layoff Temporary
04/02/2020,04/06/2020,05/21/2020,"Consolidated Entertainment Group, Inc. DBA Reading Cinema-Grossmont",La Mesa,San Diego County,63,Layoff Temporary
03/29/2020,03/29/2020,05/21/2020,Omni San Diego Hotel,San Diego,San Diego County,251,Closure Temporary
03/19/2020,03/18/2020,05/21/2020,"HBF Soto JC, LLC",San Francisco,San Francisco County,34,Layoff Temporary
05/06/2020,03/16/2020,05/21/2020,"Dardin Restaurants, Inc.",San Francisco,San Francisco County,183,Layoff Temporary
03/18/2020,03/18/2020,05/21/2020,"Delta C, LP dba Kings Card Club and Westland Card Room",Stockton,San Joaquin County,150,Closure Temporary
03/24/2020,03/24/2020,05/21/2020,Pizza my Heart,Capitola,Santa Cruz County,38,Layoff Temporary
05/06/2020,03/16/2020,05/21/2020,"Darden Restaurant, Inc. - Olive Garden",Redding,Shasta County,124,Layoff Temporary
